Date;Details;Debit;Credit;Balance
3 Feb 2014;BALANCE FORWARD;;;0,00
4 Feb 2014;VDA-ULSTER BANK;20,00 ;;
;VDP-KC PEACHES;15,60 ;;6429,95 
5 Feb 2014;VDA-ULSTER BANK;20,00 ;;
;VDP-CLYNE BROS;12,84 ;;6397,11 
6 Feb 2014;VDP-CORIBIOL;15,31 ;;
;VDP-ODEON;16,50 ;;
;VDP-ROUND TOWER SE;15,12 ;;6350,18 
7 Feb 2014;VDA-ULSTER BANK;20,00 ;;6330,18 
10 Feb 2014;VDA-ULSTER BANK;20,00 ;;
;VDA-ULSTER BANK;40,00 ;;
;VDP-BESHOFFS THE M;54,10 ;;
;VDP-DORANS ON THE;20,80 ;;
;VDP-DUNNES ST. STE;23,82 ;;
;VDP-EUROSPAR BARRO;30,39 ;;
;VDP-IRISH RAIL;5,75 ;;
;VDP-PAYZONE;20,00 ;;
;VDP-WRIGHTS OF HOW;54,56 ;;6060,76 
11 Feb 2014;VDP-PENNEYS MARY S;9,50 ;;6051,26 
12 Feb 2014;VDA-ULSTER BANK;20,00 ;;
;VDP-EUROSPAR BARRO;11,64 ;;6019,62 
13 Feb 2014;GTSDSCT140430FJ3;;94,68 ;
;EXPENSES;;;
;GTSDSCT140430KY8;;80,73 ;
;EXPENSES;;;
;ATM GRAFTON ST D;20,00 ;;
;13FEB14 TIME 09:15;;;
;VDP-PAYPAL *SPOTIF;4,99 ;;6170,04 
14 Feb 2014;VDP-ADVANCE PITSTO;179,94 ;;
;VDP-INSOMNIA COFFE;3,75 ;;
;VDP-IRISH RAIL;10,00 ;;5976,35 
17 Feb 2014;BALANCE FORWARD;;;5976,35 
;ATM ATHLONE;20,00 ;;
;16FEB14 TIME 16:26;;;
;VDA-ULSTER BANK;20,00 ;;
;VDA-ULSTER BANK;100,00 ;;
;VDP-APPLEGREEN MOT;30,00 ;;
;VDP-CASTLECOURT HO;26,00 ;;
;VDP-DUNNES WESTPOR;32,99 ;;
;VDP-PAYZONE;20,00 ;;
;VDP-THE TAVERN;57,95 ;;
;GTSSDDM140380RXK;58,99 ;;
;D/D VODAFONE IRELA;;;
;GTSSDDM140380TMV;45,16 ;;
;D/D VODAFONE IRELA;;;
;OP/eFlow Payment;44,83 ;;5520,43 
18 Feb 2014;VDA-ULSTER BANK;20,00 ;;
;VDP-TESCO STORE 35;49,90 ;;
;*INET ENGLISH;70,00 ;;5380,53 
19 Feb 2014;ATM S/V FRANFIELD;20,00 ;;
;19FEB14 TIME 15:31;;;
;VDP-AUSSIE BBQ;10,40 ;;
;VDP-EUROSPAR BARRO;5,83 ;;
;VDP-HIBERNIAN HOTE;23,95 ;;
;GTSSDDM1404305MF;5,00 ;;
;D/D FLYEFIT GROUP;;;5315,35 
20 Feb 2014;VDP-DALYS SERVICE;26,00 ;;
;VDP-EUROSPAR BARRO;10,00 ;;
;VDP-LISTONS;6,60 ;;5272,75 
21 Feb 2014;VDA-ULSTER BANK;20,00 ;;
;VDP-DUNNES CORNELS;76,98 ;;5175,77 
21 Feb 2014;BALANCE FORWARD;;;5175,77 
;GTSSDDP140430SJV;52,51 ;;
;D/D UPC Communicat;;;5123,26 
24 Feb 2014;VDP-BOYERS & COMPA;8,95 ;;
;VDP-FARMER BROWNS;40,70 ;;
;VDP-IKEA IRELAND;49,00 ;;
;VDP-JOHNNIE FOXS;46,70 ;;
;VDP-JUNIORS DELI &;50,00 ;;
;VDP-MAXOL SERVICE;25,01 ;;
;VDP-OLIVE GREEN;84,75 ;;4818,15 
25 Feb 2014;VDP-LISTONS;6,10 ;;4812,05 
26 Feb 2014;VDA-ULSTER BANK;20,00 ;;
;VDP-HALFORDS LTD;25,99 ;;
;VDP-RYANS HOTEL;55,05 ;;4711,01 
27 Feb 2014;GTSDSCT140580KEC;;3658,97 ;
;DIMENSION DATA;;;
;VDA-ULSTER BANK;20,00 ;;
;VDP-APPLE ITUNES S;0,89 ;;8349,09 
28 Feb 2014;VDA-BANK OF IRELAN;20,00 ;;
